0,1,2,3,4,5
73rd,"
A ","
FGTeeV

",1169,"
7,910,214 ","
8,437,768,629 "
74th,"
A ","
Erlania e Valentina

",543,"
8,900,406 ","
2,058,205,665 "
75th,"
A ","
Маша и Медведь

",568,"
16,638,993 ","
16,519,985,673 "
76th,"
A ","
Doggy Doggy Play Doh Cartoons

",909,"
9,994,112 ","
3,155,585,139 "
77th,"
A ","
Asianet

",31201,"
3,310,120 ","
2,450,108,456 "
78th,"
A ","
Eros Now

",9852,"
13,820,875 ","
8,651,382,337 "
79th,"
A ","
ChuChu TV Nursery Rhymes & Kids…

",254,"
19,641,153 ","
15,212,759,916 "
80th,"
A ","
Oyuncak Avı

",393,"
3,286,612 ","
1,045,924,447 "
81st,"
A ","
Cauê Moura

",487,"
5,184,068 ","
518,924,050 "
82nd,"
A ","
Get Movies

",2747,"
20,186,240 ","
17,362,242,300 "
83rd,"
A ","
SMTOWN

",3274,"
15,711,312 ","
11,614,803,892 "
84th,"
A ","
Felipe Neto

",1276,"
25,069,826 ","
4,455,604,361 "
85th,"
A ","
Galinha Pintadinha

",47,"
13,312,085 ","
9,570,884,138 "
86th,"
A ","
YRF

",3564,"
13,419,831 ","
7,280,286,813 "
87th,"
A ","
Dehati India NonVeg Masti

",612,"
4,546,683 ","
1,950,903,340 "
88th,"
A ","
キッズライン♡Kids Line

",2712,"
6,421,915 ","
5,406,199,624 "
89th,"
A ","
LooLoo Kids - Nursery Rhymes and…

",481,"
10,813,220 ","
4,362,878,210 "
90th,"
A ","
Zaz Official

",50,"
649,081 ","
242,240,716 "
91st,"
A ","
LazarBeam

",959,"
4,791,790 ","
1,080,083,584 "
92nd,"
A ","
Aditya Music

",14744,"
5,940,275 ","
3,871,453,495 "
93rd,"
A ","
hairong zheng

",492,"
394 ","
254,252,482 "
94th,"
A ","
BRIGHT SIDE

",1547,"
16,616,187 ","
3,132,608,077 "
95th,"
A ","
Tekashi 6ix9ine

",3,"
3,108,447 ","
353,018,727 "
96th,"
A ","
Luccas Neto

",487,"
18,703,101 ","
3,564,747,380 "
97th,"
A ","
NollywoodStreams

",1528,"
2,794,475 ","
1,171,653,272 "
98th,"
A ","
MGR PRODUCTION

",2069,"
733,903 ","
401,477,421 "
99th,"
A ","
BeckyGVEVO

",53,"
6,658,776 ","
3,518,844,458 "
100th,"
A ","
GMM GRAMMY OFFICIAL

",5980,"
13,426,454 ","
13,503,732,638 "
101st,"
A ","
LetsGoMartin - Nursery Rhymes

",215,"
3,665,615 ","
934,322,434 "
102nd,"
A ","
HTV2 Channel

",5868,"
3,798,574 ","
2,073,246,834 "
103rd,"
A ","
Drake - Topic

",979,"
1,259,842 ","
888,928,894 "
104th,"
A ","
And TV

",25709,"
2,963,630 ","
2,474,453,105 "
105th,"
A ","
Soft Box Türkiye

",1487,"
1,810,809 ","
1,068,359,427 "
106th,"
A ","
mmoshaya

",716,"
6,832,523 ","
3,881,188,263 "
107th,"
A ","
Rajshri

",5608,"
8,808,619 ","
4,772,954,260 "
108th,"
A ","
Venus

",4138,"
7,878,536 ","
2,898,110,156 "
109th,"
A ","
BIGFUN

",373,"
-- ","
941,376,171 "
110th,"
A ","
Bollywood Classics

",1698,"
5,532,599 ","
2,608,650,285 "
111th,"
A ","
Давай поиграем в…

",220,"
3,409,426 ","
1,101,115,153 "
112th,"
A ","
Webs & Tiaras - Toy Monster…

",62,"
7,203,358 ","
6,727,576,995 "
113th,"
A ","
ImagineDragonsVEVO

",94,"
10,753,521 ","
5,191,219,894 "
114th,"
A ","
Wave Music - Bhojpuri

",14307,"
6,133,550 ","
3,379,150,048 "
115th,"
A ","
CookieSwirlC

",2874,"
9,213,304 ","
9,298,343,650 "
116th,"
A ","
Bee Kids Games - Children TV

",740,"
-- ","
414,535,723 "
117th,"
A ","
قناة طيور الجنة |…

",2218,"
9,174,889 ","
8,504,219,475 "
118th,"
A ","
Vidol TV

",357,"
595,068 ","
338,703,141 "
119th,"
A ","
SIS vs BRO

",253,"
6,579,270 ","
2,260,525,646 "
120th,"
A ","
BLACKPINK

",179,"
11,604,439 ","
2,947,790,223 "
